Dia,TELEVISA,CEMEX,Dow Jones Mexico,BIMBO
245,10.43,14.15,3812.08,79.05
246,9.63,13.99,3840.07,77.1
247,9.39,13.34,3899.45,77.55
248,9.54,13.06,3898.86,78.1
249,9.34,12.81,3869.33,78.61
250,9.07,12.82,3869.84,84.42
251,8.46,12.74,3842.14,84.74
252,8.56,12.85,3811.89,85.62
253,8.87,12.8,3820.89,87.01
254,9.05,13.06,3799.13,84.95
255,8.94,13.22,3781.82,85.39
256,9.01,13.22,3739.32,84.85
257,9.24,13.32,3692.38,83.91
258,9.51,13.21,3700.23,84.37
259,9.9,13.08,3646.44,86.27
260,10,13,3693.43,88.62
261,10.29,12.67,3643.12,84.74
262,10.57,12.68,3644.51,84.85
263,10.88,13,3677.64,87.1
264,10.77,13.22,3700.71,85.95
265,10.86,13.42,3708.3,87.48
266,10.76,13.76,3698.66,87.53
267,10.74,13.79,3690.79,87.99
268,10.99,13.92,3676.31,88.77
269,11.09,13.75,3745.45,88.29
270,10.79,13.45,3745.21,86.86
271,10.82,13.6,3696.48,87.39
272,10.69,13.59,3717.82,89
273,10.82,13.52,3801.46,88.19
274,10.99,13.54,3827.84,88.44
275,10.52,12.89,3827.84,88.62
276,10.47,12.44,3832.33,87.32
277,10.55,12.33,3837.82,87.27
278,10.55,12.23,3849.99,89.13
279,10.74,12.14,3820.86,88.78
280,10.85,12.14,3820.86,89.07
281,11.23,12.32,3832.79,87.62
282,10.71,12.33,3794.5,87
283,10.5,12.07,3846.88,87.64
284,9.48,12.04,3851.11,86.31
285,8.67,11.65,3810.13,85.86
286,8.28,11.53,3805.89,85.72
287,8.29,11.9,3685.18,85.51
288,7.62,11.84,3634.49,85.57
289,8.25,11.66,3635,85
290,8.74,11.79,3630.08,84.85
291,7.58,12.06,3633.34,83.56
292,7.8,11.9,3608.32,83.58
293,7.98,12.19,3608.37,83.62
294,8.13,12.35,3604.39,82.57
295,7.94,12.11,3593.42,80.05
296,8,12.26,3601.54,80.48
297,8.09,12.3,3515.91,80.55
298,8.16,12.17,3493.18,80.31
299,8.34,11.97,3484.17,80.76
300,8.54,11.85,3531.67,82.1
301,8.41,11.7,3539.74,78.41
302,7.93,10.95,3513,75.71
303,7.85,10.83,3503.21,73.38
304,7.51,10.75,3514.01,70.07
305,8.09,10.78,3512.65,72.27
306,7.98,11.31,3498.3,75.09
307,8.1,11.08,3521.29,75.13
308,8.21,10.83,3499.78,73.99
309,8.11,10.83,3406.55,75.09
310,8.21,10.95,3417.63,73.18
311,8.32,11.06,3404.82,74.78
312,8.98,11.17,3401.76,77.35
313,9.01,11.52,3412.65,78.24
314,9.77,11.58,3441.93,78.47
315,9.45,11.15,3414.59,77.92
316,9.85,11.14,3317.88,79.02
317,10.36,11.45,3318.35,79.65
318,10.38,10.97,3270.36,82.13
319,9.9,10.75,3284.07,81.61
320,9.91,10.67,3267.78,82.15
321,9.96,10.72,3282.78,82.62
322,9.89,11.24,3256.31,81.48
323,9.91,11.05,3226.23,81.85
324,10.3,11.47,3219.45,82.96
325,10.06,11.37,3225.69,84.02
326,10.38,11.66,3258.65,84.95
